day_post_onset,est_sens
0.267199928,0.941564485
0.656720442,0.936937277
1.046240956,0.931770977
1.43576147,0.926380055
1.825281984,0.92053989
2.214802499,0.914385255
2.604323013,0.907916149
2.993843527,0.900773178
3.383364041,0.893001266
3.772884555,0.884914883
4.162405069,0.876154636
4.551925583,0.866945144
4.941446097,0.857241485
5.330966611,0.846594415
5.720487125,0.835543026
6.092302162,0.824635394
6.44641172,0.813566035
6.7828158,0.802518639
7.083808925,0.792415653
7.367096571,0.782223442
7.650384218,0.771722376
7.933671864,0.761035996
8.216959511,0.750102534
8.500247158,0.738674903
8.765829326,0.727750264
9.013706017,0.717160954
9.261582708,0.706501048
9.509459399,0.69541757
9.739630612,0.685098875
9.969801824,0.674450736
10.19997304,0.663767298
10.43014425,0.652636756
10.67802094,0.640847324
10.90819215,0.629587357
11.12065789,0.619045111
11.33312362,0.608420503
11.54558936,0.597548811
11.75805509,0.586677119
11.97052083,0.575723065
12.18298656,0.564769012
12.3954523,0.553732598
12.60791803,0.54253146
12.82038377,0.531412684
13.0328495,0.520211547
13.24531524,0.509092771
13.45778097,0.49764455
13.67024671,0.486525774
13.88271244,0.475324637
14.09517818,0.464288223
14.30764391,0.453251808
14.52010965,0.441803587
14.73257538,0.431014256
14.94504112,0.419977842
15.15750685,0.408941427
15.36997259,0.398399181
15.6001438,0.386774471
15.83031501,0.375173293
16.04278075,0.364631046
16.27295196,0.353524036
16.52082865,0.341522818
16.76870534,0.330015768
17.01658203,0.318508717
17.26445872,0.307354643
17.51233542,0.296412356
17.76021211,0.285470069
18.0080888,0.274810163
18.25596549,0.264362043
18.52154766,0.253772733
18.78712983,0.243395209
19.05271199,0.233141227
19.33599964,0.222640161
19.63699277,0.211768469
19.95569137,0.200786962
20.27438997,0.190189807
20.61079405,0.17935106
20.96490361,0.168775869
21.33671864,0.157859252
21.72623916,0.147391879
22.11575967,0.137149128
22.50528019,0.127804864
22.8948007,0.11877507
23.28432122,0.110553915
23.67384173,0.102692154
24.06336224,0.095324561
24.45288276,0.088496061
24.84240327,0.081892182
25.23192379,0.076052016
25.6214443,0.070436473
26.01096481,0.065180325
26.40048533,0.060328495
26.79000584,0.055880985
27.17952636,0.051523323
27.56904687,0.047749678
27.95856738,0.043931108
28.3480879,0.040696555
28.73760841,0.037551851
29.12712893,0.034631769
29.51664944,0.032071081
29.90616995,0.029510393
30.29569047,0.0273091
30.68521098,0.025197656
30.93308767,0.023490531
